open,high,low,close,volume,amount,tradedate,ma_5,ma_20,ma_50,ma_200,ema_5,ema_20,price_ma20_diff,ma5_ma20_cross,ma5_ma20_cross_diff,slope_ma5,rsi_14,macd,macd_signal,macd_cross,macd_cross_diff,k,d,momentum_10,roc_10,rsi_reversal,reversal_signal,upperband,middleband,lowerband,atr_14,volatility_10,bollinger_width,obv,volume_change,vwap,mfi_14,cmf_20,chaikin_osc,cci_20,williams_%r_14,zscore_20,price_mean_diff,high_mean_diff,low_mean_diff,plus_di,minus_di,adx_14,trix_15,ultimate_osc,ppo,dpo_20,kst,kst_signal,kama_10,seasonality,one,sma_10,sma_30,ema_10,ema_30,percentb,accumdist,mfi_new,hl_spread,pricechannel_mid,renkoslope,return_1d,logreturn_1d,sma_5,sma_20,sma_60,ema_60,rsi_6,rsi_21,macd_12_26,macdsig_12_26,macd_8_17,macdsig_8_17,macd_16_32,macdsig_16_32,bollup_20_2,bollmid_20_2,bolllow_20_2,bollup_20_3,bollmid_20_3,bolllow_20_3,k_9,d_9,j_9,k_14,d_14,j_14,atr_21,plusdi_14,minusdi_14,plusdi_21,minusdi_21,adx_21,cci_14,cci_30,mfi_21,momentum_3,momentum_7,momentum_14,roc_5,roc_20,volatility_5,volatility_20,williamsr_14,williamsr_21,volumechange_5,volumechange_10,volumechange_20,zscore_10,trix_30,uo,dpo_30,kama_30,highlow_spread,pc_upper_20,pc_mid_20,pc_lower_20,renkoslope_3,percentb_20_2,close_div_ema20,high_minus_low,macd_12_26_minus_rsi_14,atr_14_x_volume,return_5d,close_lag1,close_lag2,volume_lag1,pricechange,up,down,consecutiveup,consecutivedown,cross_ma5,cross_ma5_count,volume_ma_5,volume_spike,volume_spike_count,close_ma5_diff,pch,ma5_ma20_diff,rsi_signal,macd_diff,bollinger_position,k_d_diff,macd_hist,ichimoku_tenkan,ichimoku_kijun,ichimoku_spana,ichimoku_spanb,ichimoku_chikou,coppock,chaikin_vol,eom,vortex_pos,vortex_neg,annualized_vol,fisher,cmo_14,vwap_deviation,obv_ma,obv_cross,obv_divergence,ad,vpt,peak,trough
3474.6793,3511.6554,3457.2061,3502.9584,380790800,523367700.8,2021/1/4,0,0,0,0,3502.9584,3502.9584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3490.606633,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3502.9584,0.068802427,1,3502.9584,3502.9584,3502.9584,3502.9584,0,259145982.2,50,54.4493,3484.43075,0,0,0,3502.9584,3502.9584,3502.9584,3502.9584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3502.9584,54.4493,3511.6554,3484.43075,3457.2061,0,0,1,54.4493,0,0,0,0,0,0,,0,0,0,0,1,,,0,,3502.9584,,0,-50,0,0,0,0,,,,,3603.489,,,,,,,,,0.003538573,,0,,259145982.2,0,0,0
3492.1912,3528.6767,3484.7151,3528.6767,407995934,568019462.2,2021/1/5,0,0,0,0,3511.531167,3505.407762,0,0,0,0,0,2.051602279,0.410320456,1,1,0,0,0,0,0,0,0,0,0,0,0,0,407995934,0.07144378,3502.718544,,0,129816888.1,0,0,0,0,0,0,0,0,0,0.001433961,0,0.058535869,0,0,0,3528.6767,0.085964799,1,3515.81755,3515.81755,3507.634455,3504.617645,0,667141916.2,100,43.9616,3492.9414,1,0.00734188,0.00731506,3515.81755,3515.81755,3515.81755,3503.801623,0,0,2.051602279,0.410320456,2.857588889,0.571517778,1.466997504,0.293399501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197157,0,0,3528.6767,43.9616,3528.6767,3492.9414,3457.2061,1,0,1.006638012,43.9616,0,0,0,3502.9584,0,380790800,25.7183,1,0,1,0,1,,,0,,3528.6767,0.00734188,0,-50,1.641281823,0,0,1.641281823,,,,,3655.088,,,,,,,,,0.00741086,,0,,667141916.2,2995457.163,0,0
3530.9072,3556.8022,3513.1262,3550.8767,370230926,521799529.8,2021/1/6,0,0,0,0,3524.646344,3509.738137,0,0,0,0,0,5.40654307,1.409564979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,778226860,-0.092562217,3514.713275,,0,256959079.1,0,0,0,0,0,0,0,0,0,0.005001869,0,0.154108442,0,0,0,3550.8767,0.103101697,1,3527.503933,3527.503933,3515.496681,3507.6021,0,936914771.4,100,43.676,3507.00415,2,0.00629131,0.006271603,3527.503933,3527.503933,3527.503933,3505.345068,0,0,5.40654307,1.409564979,7.229314815,1.903077185,3.938808288,1.022481258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000723496,0,0,3550.8767,43.676,3556.8022,3507.00415,3457.2061,2,0,1.011721263,43.676,0,0,0,3528.6767,3502.9584,407995934,22.2,1,0,2,0,1,,,0,,3550.8767,0.00629131,0,-50,3.996978092,0,0,3.996978092,,,,,3675.3571,,,,,,,,,0.010289154,,0,,936914771.4,5324694.794,0,0
3552.9087,3576.2046,3526.6174,3576.2046,405348226,545709628.1,2021/1/7,0,0,0,0,3541.83243,3516.068276,0,0,0,0,0,9.993904168,3.126432817,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1183575086,0.094852422,3526.363601,,0,414586312.9,0,0,0,0,0,0,0,0,0,0.011247934,0,0.284458858,0,0,0,3576.2046,0.120208045,1,3539.6791,3539.6791,3526.534484,3512.028068,0,1342262997,100,49.5872,3516.70535,3,0.007132858,0.00710754,3539.6791,3539.6791,3539.6791,3507.668331,0,0,9.993904168,3.126432817,12.88745213,4.099952173,7.404279912,2.298840989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.2462,0,0,0,0,0,0,0,0,0,0,0,0,0.001706994,0,0,3576.2046,49.5872,3576.2046,3516.70535,3457.2061,3,0,1.017103287,49.5872,0,0,0,3550.8767,3528.6767,370230926,25.3279,1,0,3,0,1,,,0,,3576.2046,0.007132858,0,-50,6.867471351,0,0,6.867471351,,,,,3696.168,,,,,,,,,0.014133823,,0,,1342262997,8215986.213,0,0
3577.6923,3588.0625,3544.8912,3570.1082,345557896,502170815.6,2021/1/8,3545.76492,0,0,0,3551.257686,3521.214936,0,0,0,0,0,12.98777735,5.098701722,1,0,0,0,0,0,0,0,0,0,0,0,0,0,838017190,-0.147503618,3533.840198,,0,459877425.4,0,0,0,0,0,0,0,0,0,0.018656325,0,0.369231966,0,0,0,3570.1082,0.137278772,1,3545.76492,3545.76492,3534.456978,3515.775173,0,1400396140,100,43.1713,3522.6343,2,-0.001704712,-0.001706167,3545.76492,3545.76492,3545.76492,3509.71554,0,0,12.98777735,5.098701722,15.80366429,6.440694597,9.876191473,3.814311086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.4315,0,0,0,0,0,0,0,0,0,0,0,0,0.003005771,0,0,3570.1082,43.1713,3588.0625,3522.6343,3457.2061,2,0,1.013885339,43.1713,0,0,0,3576.2046,3550.8767,405348226,-6.0964,0,1,0,1,1,,381984756.4,0,,24.34328,-0.001704712,3545.76492,-50,7.889075623,0,0,7.889075623,,,,,3642.4449,,,,,,,,,0.010263057,,0,,1400396140,7626909.414,0,0
3571.3212,3597.7022,3516.9862,3531.4978,362479154,526895927.3,2021/1/11,3551.4728,0,0,0,3544.671058,3522.194256,0,0,0,5.70788,0,12.10536371,6.50003412,1,0,0,0,0,0,0,0,0,0,0,0,0,0,475538036,0.048967939,3536.215122,,0,362735249.9,0,0,0,0,0,0,0,0,0,0.024334038,0,0.344044331,0,0,0,3531.4978,0.18822671,1,3543.387067,3543.387067,3533.918946,3516.789536,0,1168254279,80.81954278,80.716,3527.45415,1,-0.01081491,-0.010873817,3551.4728,3543.387067,3543.387067,3510.429713,62.09778471,0,12.10536371,6.50003412,13.13955259,7.780466196,9.65230789,4.981910447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.3789,0,0,0.814722778,0,0.007915634,0,0,0,-0.048088467,0,0,0,0.004250283,0,0,3531.4978,80.716,3597.7022,3527.45415,3457.2061,1,0,1.002641406,80.716,0,0,0.008147228,3570.1082,3576.2046,345557896,-38.6104,0,1,0,2,0,,378322427.2,0,,-19.975,-0.01081491,3551.4728,-50,5.605329591,0,0,5.605329591,,,,,3636.3573,,,,,,,,,-0.001334003,,0,,1168254279,3706729.872,0,0
3518.0106,3608.3389,3517.4689,3608.3389,323406153,485771186.3,2021/1/12,3567.40524,0,0,0,3565.893672,3530.398508,0,0,0,15.93244,0,17.40583549,8.681194395,1,0,0,0,0,0,0,0,0,0,0,0,0,0,798944189,-0.107793788,3541.4271,,0,392921294.9,0,0,0,0,0,0,0,0,0,0.03284142,0,0.493754714,0,0,0,3608.3389,0.2051045,1,3552.6659,3552.6659,3547.449847,3522.695947,0,1491660432,83.64200279,90.87,3532.7725,1,0.021758785,0.021525441,3567.40524,3552.6659,3552.6659,3513.63985,77.04920221,0,17.40583549,8.681194395,19.51116419,10.1266058,13.78100682,6.741729722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.1343,0,0,2.257565846,0,0.012052448,0,0,0,-0.207329961,0,0,0,0.006023305,0,0,3608.3389,90.87,3608.3389,3532.7725,3457.2061,1,0,1.022076939,90.87,0,0,0.022575658,3531.4978,3570.1082,362479154,76.8411,1,0,1,0,1,,361404471,0,,40.93366,0.021758785,3567.40524,-50,8.724641099,0,0,8.724641099,,,,,3564.0799,,,,,,,,,0.018894022,,0,,1491660432,10743654.7,0,0
3613.281,3622.3475,3575.5945,3598.6518,388127791,554853439.1,2021/1/13,3576.96026,0,0,0,3576.813048,3536.898821,0,0,0,9.55502,0,20.58750956,11.06245743,1,0,0,0,0,0,0,0,0,0,0,0,0,0,410816398,0.200124943,3548.898133,,0,367863719,0,0,0,0,0,0,0,0,0,0.042269317,0,0.583109881,0,0,0,3598.6518,0.221921513,1,3558.414138,3558.414138,3556.759293,3527.596325,0,1486360649,86.10938299,46.753,3539.7768,-1,-0.002684643,-0.002688253,3576.96026,3558.414138,3558.414138,3516.427127,69.57204207,0,20.58750956,11.06245743,22.35812742,12.57291012,16.55236828,8.703857434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5436,95.6934,0,1.345445197,0,0.012388797,0,0,0,0.048339735,0,0,0,0.008131748,0,0,3598.6518,46.753,3622.3475,3539.7768,3457.2061,-1,0,1.01745964,46.753,0,0,0.013454452,3608.3389,3531.4978,323406153,-9.6871,0,1,0,1,1,,364983844,0,,21.69154,-0.002684643,3576.96026,-50,9.525052134,0,0,9.525052134,,,,,3585.0458,,,,,,,,,0.014019469,,0,,1486360649,9701670.332,0,0
3584.9324,3599.0584,3559.6001,3565.9046,347666819,511325103.7,2021/1/14,3574.90026,0,0,0,3573.176899,3539.661277,0,0,0,-2.06,0,20.2333464,12.89663522,1,0,0,0,0,0,0,0,0,0,0,0,0,0,63149579,-0.104246521,3551.606775,,0,248898780.5,0,0,0,0,0,0,0,0,0,0.04999638,0,0.572655059,0,0,0,3565.9046,0.238672766,1,3559.246411,3559.246411,3558.422076,3530.067826,0,1249791645,75.92009082,39.4583,3539.7768,-3,-0.009099852,-0.009141509,3574.90026,3559.246411,3559.246411,3518.049339,53.96912262,0,20.2333464,12.89663522,20.13576799,14.08548169,16.86353264,10.33579247,0,0,0,0,0,0,65.82147178,65.82147178,65.82147178,0,0,0,0,0,0,0,0,0,0,0,0,34.4068,37.2279,0,-0.288014841,0,0.01305787,0,0,0,-0.142300874,0,0,0,0.010236173,0,0,3565.9046,39.4583,3622.3475,3539.7768,3457.2061,-3,0,1.007414078,39.4583,0,0,-0.002880148,3598.6518,3608.3389,388127791,-32.7472,0,1,0,2,0,,353447562.6,0,,-8.99566,-0.009099852,3574.90026,-50,7.336711179,0,0,7.336711179,3539.7768,,,,3509.0804,,,,,,,,,0.004025734,,0,,1249791645,6537953.616,0,0
3566.2847,3589.2655,3533.7882,3566.3778,324612744,480343781,2021/1/15,3574.15418,0,0,0,3570.910532,3542.205707,0,0,0,-0.74608,0,19.76303684,14.26991555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,387762323,-0.066310829,3552.631078,,0,195666832.7,0,0,0,0.0018029,0.003201429,0.003062393,0,0,0,0.056177111,0,0.558955923,0,0,0,3566.3778,0.255353295,1,3559.95955,3559.95955,3559.868571,3532.410405,0,1306560096,68.38901206,55.4773,3539.7768,-2,0.000132701,0.000132692,3574.15418,3559.95955,3559.95955,3519.633879,47.01232067,0,19.76303684,14.26991555,18.15472028,14.89932941,17.02820233,11.67427445,0,0,0,0,0,0,61.92894154,63.48595363,58.81491734,0,0,0,0,0,0,0,0,0,0,0,0,-41.9611,15.5011,0,-0.10448983,0,0.013041654,0,0,0,-0.06061257,0,0,0.198582761,0.012312817,0,0,3566.3778,55.4773,3622.3475,3539.7768,3457.2061,-2,0,1.006824023,55.4773,0,0,-0.001044898,3565.9046,3598.6518,347666819,0.4732,1,0,1,0,0,7,349258532.2,0,0,-7.77638,0.000132701,3574.15418,-50,5.493121297,0,0,5.493121297,3553.5313,,,,3551.3998,,,,,,,0.206513405,,0.003869448,,0,,1306560096,6581030.133,0,0
